,AUC,Brier Score,F1 Score
XGBoost (tuned),0.6374,0.2359,0.5854
Random Forest,0.6334,0.2372,0.588
Ensemble (4-model vote),0.6305,0.2418,0.5401
CatBoost,0.6301,0.2416,0.5804
SVC (tuned),0.6298,0.2572,0.5211
Logistic Regression,0.622,0.269,0.527
LSTM (best config),0.6216,0.245,0.6045
XGBoost (default),0.6141,0.2993,0.563
LightGBM,0.6035,0.2868,0.5601
