MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,08,1.6610,1.9469,1.2385,127.42,124.10,19.88,15.97,2.3167,0.012798,1.3246,0.1131,40.00,4.1762,103.38,3.0452,34.02,33.02,134.97,4.1560,33.72,0.005944
,,13,1.6641,1.9399,1.2378,127.98,123.50,19.86,15.96,2.2988,0.012833,1.3300,0.1138,39.97,4.1642,104.15,3.0446,34.00,33.01,134.84,4.1509,33.70,0.005938
,,14,1.6606,1.9177,1.2351,127.87,123.33,19.82,15.93,2.2919,0.012766,1.3207,0.1138,40.02,4.1649,104.70,3.0402,33.93,32.93,134.67,4.1432,33.63,0.005925
,,15,1.6499,1.9162,1.2348,127.97,123.43,19.81,15.92,2.2913,0.012764,1.3358,0.1146,39.91,4.1744,105.07,3.0410,33.92,32.93,134.00,4.1367,33.62,0.005924
,,18,1.6527,1.9191,1.2400,127.52,123.08,19.87,15.99,2.2805,0.012816,1.3175,0.1144,40.01,4.1816,104.63,3.0512,34.06,33.06,133.95,4.1485,33.76,0.005949
,,19,1.6534,1.9158,1.2389,127.83,122.54,19.85,15.98,2.2828,0.012766,1.3219,0.1146,39.98,4.1892,104.45,3.0504,34.03,33.03,134.05,4.1463,33.73,0.005941
,,20,1.6588,1.9101,1.2368,128.07,122.29,19.81,15.95,2.2834,0.012756,1.3233,0.1148,39.95,4.1863,103.97,3.0446,33.97,32.98,134.26,4.1448,33.67,0.005925
,,21,1.6445,1.8864,1.2400,126.99,121.83,19.87,15.99,2.2815,0.012783,1.3268,0.1143,39.92,4.1857,103.48,3.0444,34.06,33.06,133.46,4.1472,33.76,0.005934
,,22,1.6349,1.8890,1.2377,127.69,121.75,19.84,15.96,2.2730,0.012749,1.3275,0.1140,39.93,4.1814,103.69,3.0395,33.99,33.00,133.19,4.1506,33.70,0.005931
,,25,1.6347,1.8749,1.2397,127.34,121.08,19.89,15.98,2.2919,0.012764,1.3180,0.1139,39.95,4.1790,103.64,3.0448,34.05,33.06,133.09,4.1510,33.75,0.005934
,,26,1.6181,1.8846,1.2389,127.24,120.84,19.89,15.97,2.2926,0.012766,1.3440,0.1138,39.93,4.1752,103.32,3.0417,34.03,33.04,133.32,4.1483,33.73,0.005926
,,27,1.6169,1.8698,1.2376,126.56,120.66,19.87,15.95,2.2959,0.012779,1.3465,0.1140,39.93,4.1749,102.04,3.0374,33.99,33.00,132.70,4.1495,33.69,0.005920
,,28,1.6251,1.8755,1.2363,127.03,120.86,19.87,15.94,2.3046,0.012785,1.3388,0.1143,39.99,4.1725,102.80,3.0402,33.96,32.97,133.06,4.1452,33.66,0.005900
,Mar,01,1.6178,1.8771,1.2371,126.56,120.11,19.88,15.95,2.2670,0.012783,1.3347,0.1141,39.98,4.1788,102.32,3.0392,33.98,32.99,132.14,4.1597,33.68,0.005909
,,04,1.6199,1.8704,1.2437,126.35,120.81,19.98,16.04,2.2652,0.012821,1.3320,0.1140,40.06,4.1921,102.17,3.0509,34.16,33.16,131.99,4.1742,33.86,0.005937
,,05,1.6216,1.8832,1.2442,127.37,121.30,20.00,16.04,2.2706,0.012826,1.3353,0.1145,40.15,4.1928,103.17,3.0563,34.18,33.18,132.31,4.1766,33.87,0.005939
,,06,1.6253,1.8840,1.2442,127.98,121.28,20.02,16.04,2.2740,0.012843,1.3355,0.1149,40.10,4.2020,103.63,3.0589,34.18,33.18,132.22,4.1836,33.87,0.005940
,,07,1.6218,1.8729,1.2486,127.91,121.00,20.07,16.10,2.2770,0.012875,1.3304,0.1150,40.16,4.2133,103.35,3.0637,34.30,33.29,131.65,4.1935,33.99,0.005964
,,08,1.6331,1.8709,1.2468,127.72,120.94,20.06,16.07,2.2869,0.012870,1.3080,0.1143,40.14,4.2051,102.95,3.0623,34.25,33.25,132.02,4.1930,33.95,0.005956
,,11,1.6244,1.8636,1.2489,127.71,121.55,20.08,16.10,2.2926,0.012892,1.2990,0.1137,40.16,4.2080,102.62,3.0687,34.31,33.30,131.30,4.1966,34.00,0.005987
,,12,1.6254,1.8583,1.2476,128.30,121.59,20.07,16.09,2.2987,0.012866,1.2915,0.1139,40.16,4.2035,102.88,3.0721,34.27,33.27,131.44,4.2149,33.97,0.005957
,,13,1.6260,1.8633,1.2471,128.66,121.56,20.07,16.08,2.3071,0.012859,1.3023,0.1136,40.18,4.2032,102.86,3.0721,34.25,33.25,131.77,4.2103,33.95,0.005956
,,14,1.6184,1.8657,1.2489,129.44,121.59,20.09,16.10,2.2977,0.012872,1.3017,0.1129,40.11,4.2069,102.11,3.0742,34.31,33.30,131.13,4.2121,34.00,0.005961
,,15,1.6244,1.8831,1.2484,129.46,122.12,20.09,16.09,2.3050,0.012870,1.2984,0.1125,40.06,4.2015,102.43,3.0749,34.29,33.29,131.81,4.2190,33.99,0.005962
,,18,1.6150,1.8899,1.2509,129.59,122.16,20.13,16.12,2.3043,0.012881,1.3214,0.1123,39.92,4.2055,103.00,3.0735,34.36,33.35,132.69,4.2296,34.06,0.005971
,,19,1.6185,1.8871,1.2495,129.74,122.26,20.10,16.10,2.3160,0.012874,1.3067,0.1124,40.04,4.2025,103.13,3.0723,34.32,33.32,131.97,4.2558,34.02,0.005966
,,20,1.6123,1.8897,1.2523,129.93,121.91,20.16,16.13,2.2995,0.012869,1.3171,0.1119,40.03,4.2038,103.04,3.0728,34.40,33.39,132.15,4.2938,34.09,0.005980
,,21,1.6195,1.8917,1.2507,129.75,122.02,20.13,16.11,2.3044,0.012860,1.3034,0.1120,40.09,4.1971,103.50,3.0700,34.36,33.35,132.36,4.2810,34.05,0.005971
,,22,1.6137,1.8973,1.2494,130.25,121.99,20.11,16.10,2.3010,0.012824,1.3156,0.1118,40.12,4.1876,103.99,3.0604,34.32,33.32,132.06,4.2744,34.02,0.005989
,,25,1.6225,1.8985,1.2453,130.07,121.73,20.05,16.04,2.3025,0.012793,1.3134,0.1119,40.29,4.1733,103.93,3.0518,34.20,33.21,132.51,4.2574,33.90,0.005946
,,26,1.5972,1.8845,1.2411,129.74,121.66,19.98,15.99,2.2833,0.012732,1.3156,0.1120,40.12,4.1553,103.57,3.0323,34.09,33.09,130.81,4.2286,33.79,0.005927
,,27,1.5966,1.8842,1.2431,130.09,122.21,20.01,16.02,2.2904,0.012777,1.3110,0.1121,40.10,4.1607,104.13,3.0320,34.14,33.15,130.94,4.2369,33.84,0.005936
,,28,1.5892,1.8823,1.2436,129.66,122.34,20.01,16.02,2.2847,0.012808,1.3205,0.1117,40.07,4.1550,103.95,3.0465,34.16,33.16,130.38,4.2502,33.86,0.005939
,Apr,01,1.5871,1.8851,1.2417,129.12,122.05,20.00,15.99,2.2922,0.012754,1.3207,0.1113,40.09,4.1559,103.73,3.0423,34.10,33.11,130.46,4.2372,33.81,0.005930
,,02,1.5917,1.8860,1.2364,129.50,121.80,19.94,15.93,2.2755,0.012700,1.3330,0.1113,40.10,4.1431,103.97,3.0293,33.96,32.97,130.85,4.2176,33.66,0.005904
,,03,1.5872,1.8699,1.2394,129.57,122.14,19.99,15.97,2.2783,0.012722,1.3253,0.1106,40.12,4.1483,104.16,3.0303,34.04,33.05,130.44,4.2142,33.74,0.005918
,,04,1.5905,1.8733,1.2380,129.66,122.03,19.96,15.95,2.2689,0.012697,1.3325,0.1101,40.29,4.1446,104.12,3.0166,34.00,33.01,131.02,4.2145,33.70,0.005912
,,05,1.6035,1.8889,1.2402,129.08,122.44,20.00,15.98,2.2616,0.012717,1.2804,0.1099,40.47,4.1423,104.18,3.0118,34.06,33.07,131.92,4.2335,33.77,0.005923
,,08,1.6127,1.9027,1.2413,128.70,122.06,20.00,15.99,2.2679,0.012723,1.2598,0.1089,40.60,4.1372,104.47,3.0070,34.10,33.10,132.86,4.2445,33.80,0.005929
,,09,1.6184,1.8941,1.2406,129.42,122.01,20.00,15.98,2.2792,0.012739,1.2490,0.1088,40.63,4.1346,105.30,3.0031,34.07,33.08,132.86,4.2801,33.78,0.005930
,,10,1.6199,1.8981,1.2375,130.05,121.87,19.98,15.94,2.2731,0.012764,1.2504,0.1088,40.81,4.1264,105.58,3.0095,33.99,33.00,132.81,4.2694,33.69,0.005931
,,11,1.6167,1.8979,1.2380,130.18,121.95,19.98,15.95,2.2774,0.012779,1.2438,0.1095,40.77,4.1362,106.28,3.0217,34.00,33.01,132.70,4.2682,33.71,0.005938
,,12,1.6223,1.9052,1.2373,130.57,122.48,19.99,15.94,2.2709,0.012742,1.2443,0.1094,40.75,4.1332,106.83,3.0021,33.98,32.99,133.09,4.2607,33.69,0.005934
