MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
2016,Jan,04,1.5473,2.0950,1.4233,102.89,102.47,21.86,18.36,2.1449,0.010243,1.1890,0.1202,32.92,4.3130,96.12,3.0212,39.09,37.93,142.47,3.9339,38.75,0.006324
,,05,1.5417,2.0970,1.4247,102.58,102.46,21.85,18.38,2.1442,0.010305,1.1917,0.1199,32.81,4.3055,96.04,3.0297,39.13,37.98,142.16,3.9454,38.79,0.006331
,,06,1.5383,2.0986,1.4314,102.02,102.04,21.86,18.47,2.1430,0.010322,1.2066,0.1197,32.76,4.3179,95.25,3.0475,39.31,38.15,141.75,3.9531,38.97,0.006370
,,07,1.5538,2.1009,1.4360,101.15,101.80,21.78,18.52,2.1461,0.010335,1.2148,0.1199,32.53,4.3123,95.29,3.0530,39.43,38.26,143.14,3.9576,39.10,0.006386
,,08,1.5603,2.0988,1.4337,101.20,101.84,21.76,18.48,2.1512,0.010322,1.2121,0.1197,32.80,4.3067,95.27,3.0508,39.37,38.20,143.79,3.9578,39.03,0.006380
,,11,1.5687,2.0887,1.4379,100.35,101.51,21.84,18.52,2.1517,0.010326,1.2246,0.1190,32.69,4.3083,94.01,3.0412,39.48,38.27,144.54,3.9628,39.15,0.006401
,,12,1.5654,2.0919,1.4389,100.54,101.11,21.89,18.55,2.1544,0.010389,1.2244,0.1189,32.71,4.3010,94.42,3.0382,39.51,38.33,143.96,3.9595,39.18,0.006419
,,13,1.5534,2.0741,1.4349,100.87,100.74,21.81,18.49,2.1489,0.010353,1.2137,0.1190,32.65,4.2955,94.16,3.0199,39.41,38.25,142.78,3.9556,39.07,0.006401
,,14,1.5658,2.0727,1.4388,99.90,100.17,21.83,18.52,2.1449,0.010362,1.2245,0.1187,32.75,4.2968,93.33,3.0157,39.51,38.33,142.91,3.9653,39.17,0.006410
,,15,1.5665,2.0736,1.4394,100.01,100.07,21.85,18.49,2.1378,0.010357,1.2212,0.1186,32.88,4.2846,92.60,3.0157,39.53,38.37,143.28,3.9642,39.19,0.006417
,,18,1.5672,2.0539,1.4385,99.52,99.10,21.87,18.46,2.1291,0.010330,1.2268,0.1188,32.63,4.2855,93.07,3.0129,39.51,38.37,143.11,3.9595,39.17,0.006421
,,19,1.5663,2.0494,1.4382,98.75,99.07,21.86,18.42,2.1248,0.010332,1.2242,0.1188,32.77,4.2746,92.58,3.0141,39.49,38.35,142.92,3.9631,39.15,0.006419
,,20,1.5753,2.0349,1.4386,98.73,98.27,21.87,18.40,2.1176,0.010346,1.2299,0.1185,32.85,4.2695,91.77,3.0096,39.51,38.36,143.77,3.9625,39.17,0.006418
,,21,1.5665,2.0401,1.4389,99.49,99.33,21.87,18.42,2.1202,0.010354,1.2278,0.1188,32.88,4.2710,92.64,3.0058,39.51,38.37,143.20,3.9661,39.17,0.006419
,,22,1.5538,2.0360,1.4327,100.29,100.34,21.78,18.36,2.1135,0.010320,1.2169,0.1189,33.03,4.2570,93.50,2.9920,39.34,38.17,142.16,3.9610,39.01,0.006395
,,25,1.5438,2.0425,1.4275,100.14,101.00,21.70,18.32,2.1122,0.010309,1.2026,0.1196,33.22,4.2587,93.03,2.9864,39.20,38.05,140.77,3.9708,38.87,0.006378
,,26,1.5514,2.0355,1.4304,99.53,100.18,21.74,18.35,2.1090,0.010285,1.2104,0.1191,33.32,4.2552,92.40,2.9800,39.28,38.14,140.97,3.9755,38.94,0.006405
,,27,1.5521,2.0483,1.4281,100.12,101.05,21.70,18.33,2.0994,0.010283,1.2092,0.1187,33.51,4.2465,92.48,2.9820,39.22,38.08,140.51,3.9830,38.88,0.006404
,,28,1.5592,2.0383,1.4310,100.70,101.40,21.75,18.37,2.0996,0.010302,1.2057,0.1184,33.77,4.2526,92.23,2.9895,39.32,38.17,140.82,3.9916,38.96,0.006431
,,29,1.5575,2.0487,1.4277,101.17,101.64,21.71,18.32,2.0987,0.010316,1.1853,0.1182,34.45,4.2548,92.42,2.9903,39.22,38.07,140.44,3.9902,38.88,0.006422
,Feb,01,1.5462,2.0313,1.4248,100.59,101.69,21.66,18.31,2.1019,0.010450,1.1755,0.1183,34.29,4.2723,92.26,2.9881,39.14,37.99,139.44,3.9944,38.79,0.006409
,,02,1.5538,2.0546,1.4250,101.10,101.87,21.66,18.32,2.0991,0.010443,1.1805,0.1182,33.90,4.2716,93.02,2.9840,39.16,38.01,139.83,3.9955,38.80,0.006392
,,03,1.5630,2.0628,1.4320,100.56,101.65,21.76,18.36,2.0992,0.010371,1.1969,0.1175,33.80,4.2594,93.62,2.9902,39.33,38.18,140.63,3.9955,38.99,0.006424
,,04,1.5689,2.0629,1.4143,101.53,102.83,21.50,18.16,2.0868,0.010342,1.1997,0.1178,34.12,4.2357,94.32,2.9616,38.86,37.71,140.64,3.9728,38.51,0.006344
,,05,1.5655,2.0374,1.3978,100.43,101.82,21.28,17.96,2.0665,0.010274,1.1980,0.1167,33.74,4.2077,93.58,2.9279,38.39,37.27,140.68,3.9358,38.06,0.006263
,,10,1.5739,2.0177,1.3939,98.45,100.21,21.20,17.88,2.0530,0.010360,1.2148,0.1162,33.50,4.1922,92.30,2.9308,38.28,37.17,143.14,3.9420,37.95,0.006260
,,11,1.5675,2.0199,1.3889,98.60,99.69,21.13,17.83,2.0439,0.010365,1.2308,0.1160,33.81,4.2069,92.70,2.9280,38.14,37.03,142.80,3.9379,37.81,0.006235
,,12,1.5774,2.0200,1.3962,99.42,100.42,21.24,17.93,2.0432,0.010352,1.2366,0.1157,33.52,4.2111,93.31,2.9350,38.34,37.23,143.26,3.9330,38.01,0.006268
,,15,1.5735,2.0374,1.4030,100.40,101.63,21.56,18.02,2.0594,0.010412,1.2316,0.1158,33.80,4.2438,93.33,2.9514,38.53,37.41,143.21,3.9327,38.20,0.006275
,,16,1.5637,2.0232,1.4020,100.47,101.88,21.52,18.00,2.0553,0.010496,1.2208,0.1153,33.83,4.2356,92.55,2.9503,38.50,37.38,141.93,3.9338,38.17,0.006267
,,17,1.5674,2.0099,1.4055,99.79,101.36,21.54,18.04,2.0496,0.010419,1.2353,0.1147,33.41,4.2258,92.23,2.9504,38.60,37.47,142.30,3.9436,38.27,0.006274
,,18,1.5636,2.0077,1.4036,100.53,102.75,21.54,18.03,2.0520,0.010426,1.2321,0.1144,33.68,4.2201,93.49,2.9522,38.54,37.42,141.51,3.9466,38.21,0.006273
,,19,1.5657,2.0157,1.4076,100.00,102.22,21.59,18.09,2.0515,0.010398,1.2470,0.1142,33.32,4.2317,93.15,2.9534,38.65,37.53,141.94,3.9429,38.32,0.006296
,,22,1.5593,2.0040,1.4031,100.55,102.04,21.52,18.06,2.0449,0.010449,1.2428,0.1138,33.34,4.2249,93.36,2.9452,38.53,37.41,141.53,3.9270,38.20,0.006269
,,23,1.5491,1.9791,1.4027,101.36,102.25,21.48,18.05,2.0445,0.010480,1.2512,0.1138,33.51,4.2190,93.97,2.9451,38.52,37.40,140.59,3.9242,38.19,0.006268
,,24,1.5511,1.9675,1.4075,100.97,101.92,21.55,18.11,2.0513,0.010467,1.2578,0.1140,33.18,4.2331,93.12,2.9506,38.65,37.53,141.76,3.9393,38.32,0.006291
,,25,1.5464,1.9558,1.4030,100.64,102.24,21.47,18.06,2.0468,0.010449,1.2493,0.1134,33.31,4.2208,93.33,2.9450,38.53,37.41,141.82,3.9322,38.20,0.006288
,,26,1.5490,1.9610,1.3999,101.37,103.45,21.42,18.02,2.0358,0.010455,1.2402,0.1133,33.17,4.2128,94.73,2.9422,38.44,37.33,141.73,3.9224,38.11,0.006273
,,29,1.5386,1.9509,1.4085,100.40,104.04,21.51,18.11,2.0501,0.010517,1.2427,0.1137,33.38,4.2253,92.59,2.9620,38.68,37.56,141.17,3.9410,38.35,0.006315
,Mar,01,1.5273,1.9572,1.4039,100.22,103.75,21.46,18.06,2.0556,0.010500,1.2473,0.1137,33.49,4.2360,92.70,2.9621,38.56,37.44,140.74,3.9424,38.22,0.006296
,,02,1.5229,1.9577,1.4027,101.40,104.45,21.41,18.04,2.0721,0.010561,1.2311,0.1136,33.70,4.2352,92.97,2.9680,38.53,37.41,140.47,3.9402,38.19,0.006286
,,03,1.5132,1.9622,1.3936,101.77,103.82,21.30,17.93,2.0684,0.010506,1.2230,0.1143,33.63,4.2237,93.08,2.9568,38.26,37.16,139.72,3.9240,37.94,0.006250
,,04,1.5137,1.9587,1.3830,101.93,103.09,21.22,17.80,2.0557,0.010529,1.2164,0.1146,33.51,4.2200,93.37,2.9457,37.99,36.88,139.30,3.9057,37.65,0.006205
,,07,1.5164,1.9607,1.3799,102.29,103.39,21.19,17.77,2.0579,0.010582,1.2135,0.1149,33.68,4.2147,93.78,2.9469,37.89,36.80,138.73,3.8925,37.57,0.006189
,,08,1.5247,1.9718,1.3837,102.82,103.86,21.27,17.81,2.0571,0.010534,1.2248,0.1146,33.74,4.2192,93.70,2.9466,38.00,36.90,139.21,3.9032,37.67,0.006205
,,09,1.5226,1.9675,1.3877,103.04,103.24,21.29,17.87,2.0562,0.010558,1.2321,0.1141,33.56,4.2122,93.35,2.9537,38.11,37.00,139.05,3.9234,37.78,0.006223
,,10,1.5180,1.9633,1.3828,103.45,104.18,21.22,17.81,2.0598,0.010546,1.2156,0.1145,33.58,4.1992,91.76,2.9582,37.97,36.87,138.56,3.9184,37.65,0.006204
,,11,1.5366,1.9641,1.3759,103.03,103.51,21.20,17.72,2.0511,0.010527,1.2128,0.1150,33.52,4.1993,92.08,2.9489,37.79,36.69,139.59,3.9133,37.46,0.006173
,,14,1.5320,1.9746,1.3730,104.17,103.85,21.14,17.69,2.0521,0.010549,1.2057,0.1159,33.54,4.2001,92.75,2.9562,37.71,36.61,139.62,3.9150,37.38,0.006158
,,15,1.5301,1.9662,1.3775,103.24,103.58,21.17,17.75,2.0495,0.010520,1.2140,0.1159,33.45,4.1997,91.87,2.9503,37.83,36.73,139.62,3.9234,37.50,0.006179
,,16,1.5326,1.9509,1.3805,102.93,103.33,21.17,17.79,2.0481,0.010478,1.2173,0.1157,33.38,4.2056,91.14,2.9510,37.91,36.81,139.78,3.9375,37.58,0.006192
,,17,1.5320,1.9470,1.3652,103.84,104.29,21.01,17.59,2.0423,0.010384,1.2126,0.1164,33.41,4.1877,92.48,2.9384,37.49,36.40,139.65,3.9252,37.17,0.006124
,,18,1.5330,1.9585,1.3545,103.66,104.30,20.95,17.46,2.0332,0.010350,1.2176,0.1166,33.38,4.1735,92.65,2.9249,37.20,36.12,140.10,3.8828,36.88,0.006076
,,21,1.5328,1.9642,1.3598,103.13,104.15,20.97,17.54,2.0440,0.010333,1.2209,0.1168,33.40,4.1969,91.94,2.9268,37.34,36.26,140.24,3.8952,37.02,0.006099
,,22,1.5327,1.9576,1.3617,103.31,104.15,20.97,17.56,2.0445,0.010337,1.2166,0.1175,33.67,4.2015,92.17,2.9433,37.39,36.31,140.45,3.8995,37.07,0.006105
,,23,1.5265,1.9339,1.3616,103.85,104.18,20.97,17.56,2.0385,0.010337,1.2125,0.1177,34.20,4.2001,91.74,2.9421,37.39,36.31,139.79,3.8936,37.07,0.006085
,,24,1.5305,1.9304,1.3693,102.70,103.54,21.03,17.65,2.0471,0.010336,1.2153,0.1174,34.00,4.2003,91.72,2.9476,37.60,36.51,140.33,3.8812,37.28,0.006128
,,28,1.5321,1.9393,1.3722,103.09,103.48,21.06,17.69,2.0549,0.010292,1.2077,0.1174,33.99,4.2006,91.68,2.9521,37.69,36.59,140.39,3.8779,37.36,0.006152
,,29,1.5332,1.9502,1.3694,103.58,103.81,21.04,17.65,2.0572,0.010241,1.2068,0.1177,34.22,4.2006,92.45,2.9561,37.61,36.51,140.61,3.8722,37.28,0.006138
,,30,1.5317,1.9490,1.3563,103.39,103.71,20.91,17.49,2.0422,0.010156,1.2057,0.1175,34.26,4.1868,92.84,2.9402,37.25,36.16,140.22,3.8438,36.93,0.006083
,,31,1.5290,1.9372,1.3511,103.39,103.91,20.89,17.42,2.0377,0.010168,1.2020,0.1181,34.45,4.1935,93.25,2.9362,37.11,36.02,139.82,3.8356,36.78,0.006061
,Apr,01,1.5370,1.9364,1.3512,103.35,103.63,20.90,17.42,2.0365,0.010243,1.2033,0.1173,34.64,4.1824,93.19,2.9309,37.11,36.03,140.57,3.8435,36.79,0.006062
,,04,1.5387,1.9215,1.3510,103.12,103.57,20.85,17.42,2.0366,0.010274,1.2123,0.1175,34.80,4.1833,92.84,2.9350,37.10,36.02,140.93,3.8413,36.78,0.006060
,,05,1.5452,1.9346,1.3558,102.70,103.51,20.96,17.48,2.0480,0.010260,1.2232,0.1174,34.58,4.1904,92.38,2.9365,37.23,36.15,141.42,3.8337,36.91,0.006080
,,06,1.5410,1.9195,1.3554,102.48,103.21,20.93,17.47,2.0397,0.010257,1.2270,0.1174,34.63,4.1714,92.32,2.9319,37.22,36.14,141.59,3.8462,36.90,0.006079
,,07,1.5394,1.9056,1.3506,102.58,103.24,20.87,17.41,2.0296,0.010232,1.2366,0.1168,34.67,4.1679,92.04,2.9269,37.09,36.02,141.32,3.8326,36.77,0.006059
,,08,1.5360,1.9005,1.3510,101.76,103.07,20.85,17.42,2.0261,0.010278,1.2441,0.1169,34.35,4.1637,91.65,2.9260,37.10,36.02,141.27,3.8424,36.78,0.006060
,,11,1.5366,1.9027,1.3465,101.78,103.69,20.83,17.36,2.0282,0.010254,1.2482,0.1173,34.65,4.1583,91.74,2.9218,36.97,35.91,141.38,3.8406,36.66,0.006040
,,12,1.5345,1.9159,1.3455,102.65,104.27,20.80,17.35,2.0253,0.010256,1.2436,0.1177,34.60,4.1578,92.58,2.9199,36.95,35.88,140.95,3.8399,36.63,0.006036
,,13,1.5297,1.9195,1.3454,103.60,105.44,20.81,17.35,2.0268,0.010267,1.2360,0.1177,34.81,4.1613,93.45,2.9273,36.95,35.88,140.63,3.8462,36.63,0.006031
,,14,1.5352,1.9275,1.3627,104.15,105.96,21.02,17.57,2.0460,0.010306,1.2457,0.1182,34.90,4.2078,93.22,2.9467,37.42,36.34,140.86,3.8724,37.10,0.006104
,,15,1.5334,1.9276,1.3617,104.81,106.24,20.99,17.55,2.0442,0.010347,1.2421,0.1183,34.87,4.2073,93.67,2.9503,37.39,36.31,140.77,3.8795,37.06,0.006101
,,18,1.5310,1.9222,1.3568,104.12,104.76,20.94,17.50,2.0343,0.010287,1.2561,0.1179,34.49,4.1864,93.86,2.9390,37.26,36.18,140.25,3.8710,36.94,0.006074
,,19,1.5271,1.9302,1.3483,104.90,105.62,20.82,17.38,2.0295,0.010251,1.2362,0.1185,34.61,4.1799,94.31,2.9252,37.02,35.95,139.98,3.8595,36.71,0.006047
,,20,1.5238,1.9281,1.3415,104.37,105.47,20.75,17.30,2.0225,0.010213,1.2318,0.1184,34.65,4.1616,94.08,2.9084,36.84,35.77,139.49,3.8449,36.52,0.006017
,,21,1.5189,1.9286,1.3446,105.07,106.45,20.76,17.33,2.0291,0.010207,1.2244,0.1186,34.64,4.1656,93.79,2.9010,36.93,35.85,138.43,3.8330,36.61,0.006033
,,22,1.5241,1.9347,1.3485,104.51,106.09,20.80,17.38,2.0260,0.010240,1.2329,0.1180,34.53,4.1721,93.28,2.8966,37.03,35.96,138.51,3.8485,36.71,0.006050
,,25,1.5222,1.9549,1.3538,104.30,106.74,20.81,17.45,2.0301,0.010242,1.2164,0.1176,34.59,4.1806,92.84,2.8940,37.18,36.10,138.60,3.8493,36.86,0.006071
,,26,1.5263,1.9620,1.3542,104.38,106.87,20.86,17.46,2.0271,0.010244,1.2208,0.1178,34.40,4.1865,93.10,2.8862,37.19,36.11,138.91,3.8483,36.87,0.006073
,,27,1.5267,1.9698,1.3505,103.18,107.11,20.81,17.41,2.0291,0.010235,1.2158,0.1177,34.35,4.1740,92.85,2.8851,37.09,36.01,138.74,3.8421,36.77,0.006055
,,28,1.5284,1.9606,1.3489,102.41,107.11,20.78,17.39,2.0287,0.010219,1.2337,0.1180,34.44,4.1716,93.30,2.8810,37.05,35.97,138.95,3.8408,36.72,0.006051
,,29,1.5306,1.9686,1.3445,102.83,107.35,20.76,17.33,2.0204,0.010174,1.2533,0.1177,34.42,4.1703,93.71,2.8651,36.93,35.85,139.46,3.8480,36.60,0.006031
,May,03,1.5457,1.9684,1.3405,103.33,107.16,20.71,17.28,2.0223,0.010177,1.2625,0.1178,34.17,4.1618,94.48,2.8533,36.82,35.74,140.47,3.8454,36.50,0.006017
,,04,1.5547,1.9667,1.3543,101.44,106.41,20.84,17.45,2.0337,0.010232,1.2620,0.1173,34.06,4.1874,93.22,2.8787,37.20,36.11,141.54,3.8579,36.87,0.006075
,,05,1.5580,1.9689,1.3563,101.61,105.69,20.86,17.48,2.0369,0.010243,1.2656,0.1164,33.88,4.1881,93.53,2.8728,37.25,36.17,141.56,3.8652,36.93,0.006085
,,06,1.5510,1.9692,1.3602,100.44,105.60,20.91,17.53,2.0420,0.010272,1.2701,0.1163,33.92,4.1993,93.20,2.8771,37.36,36.27,140.44,3.8681,37.03,0.006102
,,09,1.5540,1.9665,1.3629,100.46,105.41,20.96,17.56,2.0507,0.010261,1.2698,0.1170,34.07,4.2084,93.21,2.8939,37.44,36.34,140.22,3.8807,37.10,0.006114
,,10,1.5600,1.9747,1.3711,100.49,105.76,21.04,17.67,2.0553,0.010295,1.2607,0.1167,33.80,4.2157,92.55,2.9250,37.66,36.56,141.07,3.8874,37.33,0.006150
,,11,1.5601,1.9798,1.3707,100.73,105.98,21.04,17.66,2.0529,0.010318,1.2593,0.1170,33.79,4.2102,93.07,2.9339,37.65,36.55,140.70,3.8918,37.32,0.006149
,,12,1.5620,1.9745,1.3673,100.36,106.37,21.02,17.62,2.0539,0.010282,1.2591,0.1174,33.96,4.2041,93.32,2.9357,37.55,36.46,140.84,3.8794,37.22,0.006132
,,13,1.5637,1.9848,1.3747,100.46,106.96,21.08,17.71,2.0602,0.010326,1.2639,0.1177,34.12,4.2175,93.56,2.9502,37.76,36.65,141.52,3.8872,37.43,0.006160
,,16,1.5509,1.9707,1.3716,100.00,106.07,21.02,17.67,2.0515,0.010293,1.2592,0.1165,33.99,4.2009,92.90,2.9470,37.68,36.57,140.45,3.8735,37.34,0.006149
,,17,1.5468,1.9808,1.3668,100.51,106.36,20.96,17.61,2.0498,0.010284,1.2549,0.1166,34.05,4.1901,93.16,2.9468,37.55,36.44,139.80,3.8665,37.21,0.006128
,,18,1.5512,1.9834,1.3743,100.08,106.24,21.04,17.70,2.0534,0.010310,1.2585,0.1162,34.06,4.2034,93.23,2.9495,37.75,36.64,139.88,3.8604,37.42,0.006160
,,19,1.5491,2.0122,1.3804,99.58,105.70,21.10,17.77,2.0534,0.010229,1.2549,0.1159,33.84,4.2096,93.03,2.9427,37.92,36.80,139.77,3.8699,37.58,0.006186
,,20,1.5460,2.0137,1.3799,99.71,105.42,21.08,17.77,2.0484,0.010161,1.2541,0.1160,33.83,4.2170,93.35,2.9483,37.90,36.78,139.23,3.8696,37.57,0.006183
,,23,1.5485,2.0013,1.3780,99.92,105.15,21.05,17.74,2.0479,0.010158,1.2545,0.1166,33.87,4.2217,93.70,2.9473,37.85,36.73,139.28,3.8697,37.52,0.006175
,,24,1.5490,2.0023,1.3822,99.38,105.00,21.09,17.79,2.0437,0.010128,1.2635,0.1160,33.58,4.2267,92.84,2.9479,37.95,36.84,139.43,3.8647,37.63,0.006191
,,25,1.5392,2.0159,1.3796,99.47,105.34,21.03,17.76,2.0416,0.010118,1.2555,0.1165,33.60,4.2267,93.29,2.9498,37.89,36.79,139.13,3.8682,37.56,0.006172
,,26,1.5391,2.0258,1.3769,99.27,106.09,21.00,17.73,2.0450,0.010114,1.2550,0.1163,33.73,4.2295,92.50,2.9493,37.81,36.71,139.22,3.8650,37.49,0.006159
,,27,1.5377,2.0165,1.3743,99.24,105.76,20.95,17.69,2.0489,0.010116,1.2507,0.1165,33.68,4.2243,92.72,2.9428,37.75,36.65,138.87,3.8561,37.42,0.006138
,,30,1.5345,2.0216,1.3819,99.05,105.67,21.00,17.79,2.0547,0.010138,1.2452,0.1160,33.62,4.2336,92.49,2.9551,37.96,36.85,138.90,3.8633,37.62,0.006161
,,31,1.5384,2.0299,1.3796,99.97,105.96,20.96,17.76,2.0550,0.010129,1.2397,0.1159,33.49,4.2289,92.87,2.9524,37.89,36.79,139.10,3.8623,37.56,0.006160
,Jun,01,1.5343,1.9983,1.3794,100.38,105.54,20.92,17.75,2.0521,0.010085,1.2471,0.1155,33.38,4.2300,93.65,2.9531,37.89,36.78,138.76,3.8639,37.56,0.006148
,,02,1.5412,1.9839,1.3755,99.53,105.22,20.91,17.71,2.0418,0.010051,1.2615,0.1155,33.03,4.2193,93.86,2.9541,37.78,36.67,139.31,3.8616,37.45,0.006124
,,03,1.5347,1.9836,1.3760,99.59,105.12,20.90,17.71,2.0477,0.010118,1.2640,0.1159,33.14,4.2210,93.93,2.9575,37.80,36.69,138.98,3.8679,37.46,0.006140
,,06,1.5446,1.9589,1.3618,99.81,105.00,20.74,17.53,2.0339,0.010136,1.2723,0.1166,33.15,4.2061,94.21,2.9459,37.41,36.31,139.36,3.8496,37.07,0.006088
,,07,1.5424,1.9663,1.3582,100.07,105.82,20.67,17.49,2.0303,0.010195,1.2598,0.1168,33.31,4.2017,93.78,2.9382,37.31,36.21,139.89,3.8465,36.98,0.006077
,,08,1.5376,1.9696,1.3534,100.77,106.24,20.60,17.43,2.0275,0.010228,1.2621,0.1170,33.31,4.2048,94.45,2.9358,37.18,36.09,140.21,3.8416,36.85,0.006055
,,09,1.5376,1.9557,1.3483,100.72,106.28,20.55,17.37,2.0258,0.010180,1.2644,0.1166,33.41,4.1908,96.16,2.9384,37.04,35.95,140.65,3.8402,36.71,0.006034
,,10,1.5307,1.9573,1.3547,100.48,106.42,20.64,17.45,2.0257,0.010175,1.2657,0.1163,33.28,4.2001,96.17,2.9373,37.22,36.12,140.49,3.8404,36.88,0.006066
,,13,1.5296,1.9289,1.3594,100.38,106.16,20.64,17.51,2.0287,0.010202,1.2808,0.1160,33.19,4.1944,95.80,2.9456,37.35,36.25,140.93,3.8592,37.01,0.006089
,,14,1.5295,1.9220,1.3544,100.06,105.58,20.56,17.45,2.0177,0.010199,1.2776,0.1155,33.09,4.1801,95.16,2.9310,37.21,36.11,140.57,3.8521,36.87,0.006072
,,15,1.5197,1.9174,1.3559,99.93,105.46,20.56,17.47,2.0176,0.010134,1.2766,0.1153,33.06,4.1773,95.09,2.9228,37.25,36.15,140.73,3.8373,36.92,0.006076
,,16,1.5215,1.9158,1.3504,99.88,104.37,20.52,17.40,2.0096,0.010131,1.2900,0.1153,32.98,4.1722,95.57,2.9141,37.09,36.01,140.73,3.8331,36.77,0.006053
,,17,1.5193,1.9244,1.3495,99.69,104.39,20.49,17.39,2.0095,0.010107,1.2929,0.1151,32.93,4.1681,95.09,2.9072,37.07,35.98,140.02,3.8240,36.74,0.006052
,,20,1.5295,1.9658,1.3447,100.10,104.76,20.44,17.33,1.9934,0.010139,1.2855,0.1157,32.95,4.1705,95.62,2.9018,36.94,35.86,140.31,3.8185,36.61,0.006031
,,21,1.5213,1.9680,1.3428,100.27,105.04,20.42,17.30,1.9915,0.010113,1.2908,0.1161,33.11,4.1649,95.46,2.8958,36.89,35.80,139.66,3.8137,36.56,0.006021
,,22,1.5136,1.9733,1.3433,100.36,105.09,20.40,17.32,1.9880,0.010113,1.2861,0.1162,33.30,4.1688,95.97,2.8905,36.90,35.82,139.72,3.8097,36.57,0.006023
,,23,1.5174,1.9792,1.3375,100.61,104.41,20.34,17.24,1.9855,0.010082,1.2783,0.1161,33.27,4.1620,96.06,2.8757,36.74,35.66,139.50,3.7992,36.41,0.005996
,,24,1.4949,1.8254,1.3616,100.13,104.09,20.60,17.55,1.9992,0.010133,1.3483,0.1156,33.09,4.1882,95.37,2.9020,37.40,36.31,139.48,3.8350,37.07,0.006099
,,27,1.4969,1.8193,1.3573,100.68,103.98,20.45,17.50,2.0004,0.010127,1.3323,0.1149,33.03,4.1780,95.96,2.8836,37.28,36.19,139.43,3.8418,36.95,0.006074
,,28,1.5005,1.8059,1.3570,100.38,104.28,20.41,17.49,2.0024,0.010226,1.3296,0.1157,33.17,4.1885,95.69,2.8819,37.27,36.18,138.90,3.8430,36.94,0.006084
,,29,1.4956,1.8002,1.3514,100.18,103.79,20.32,17.42,1.9938,0.010269,1.3193,0.1162,33.31,4.1780,95.79,2.8772,37.11,36.03,137.86,3.8343,36.80,0.006057
,,30,1.4977,1.8083,1.3490,100.31,104.11,20.30,17.39,1.9960,0.010235,1.3126,0.1170,33.54,4.1826,95.71,2.8708,37.05,35.97,137.57,3.8324,36.73,0.006047
,Jul,01,1.4920,1.7933,1.3452,100.35,103.85,20.22,17.34,1.9939,0.010232,1.3085,0.1174,33.69,4.1771,96.17,2.8627,36.94,35.87,137.73,3.8325,36.63,0.006031
,,04,1.4969,1.7854,1.3440,100.63,104.20,20.17,17.33,2.0004,0.010238,1.3076,0.1172,33.64,4.1750,96.49,2.8704,36.91,35.84,138.07,3.8356,36.59,0.006025
,,05,1.4999,1.7857,1.3473,101.26,104.60,20.20,17.37,1.9996,0.010263,1.3187,0.1168,33.68,4.1787,97.09,2.8749,37.00,35.92,138.71,3.8341,36.68,0.006040
,,07,1.4982,1.7484,1.3502,101.43,104.16,20.20,17.40,2.0016,0.010285,1.3378,0.1168,33.55,4.1784,96.39,2.8735,37.08,35.99,138.57,3.8358,36.76,0.006054
,,08,1.4950,1.7479,1.3494,101.22,103.77,20.18,17.39,2.0001,0.010279,1.3448,0.1164,33.38,4.1747,98.07,2.8663,37.06,35.97,137.99,3.8324,36.74,0.006050
,,11,1.4875,1.7439,1.3457,101.79,103.17,20.12,17.35,2.0063,0.010267,1.3360,0.1174,33.76,4.1785,98.07,2.8595,36.96,35.87,136.99,3.8350,36.64,0.006034
,,12,1.4954,1.7638,1.3500,102.32,102.99,20.18,17.40,2.0104,0.010270,1.3087,0.1174,33.74,4.1893,97.97,2.8469,37.07,35.99,137.29,3.8407,36.75,0.006054
,,13,1.4911,1.7938,1.3478,102.54,103.16,20.16,17.37,2.0068,0.010284,1.2899,0.1176,33.81,4.1857,97.97,2.8528,37.01,35.94,136.31,3.8301,36.69,0.006043
,,14,1.4961,1.7782,1.3471,102.65,104.07,20.14,17.37,2.0110,0.010287,1.2872,0.1182,34.02,4.2025,97.46,2.8587,36.99,35.92,136.94,3.8346,36.67,0.006040
,,15,1.4951,1.8075,1.3433,102.79,104.17,20.10,17.32,2.0093,0.010266,1.2658,0.1187,33.96,4.2078,96.06,2.8648,36.89,35.82,137.07,3.8429,36.57,0.006024
,,18,1.4924,1.7839,1.3489,102.44,104.18,20.14,17.40,2.0095,0.010294,1.2778,0.1187,33.90,4.2193,95.69,2.8801,37.04,35.97,137.15,3.8551,36.73,0.006048
