MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2013 to Apr 2026


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
2013,Jan,02,03 Jan 2013,0.0189,0.9632609297,0.0510,0.0576,0.0685,-,-,-,-
,,03,04 Jan 2013,0.0194,0.9632614416,0.0485,0.0576,0.0685,-,-,-,-
,,04,07 Jan 2013,0.0228,0.9632632468,0.0442,0.0577,0.0683,-,-,-,-
,,07,08 Jan 2013,0.0285,0.9632639989,0.0444,0.0579,0.0682,-,-,-,-
,,08,09 Jan 2013,0.0327,0.9632648619,0.0446,0.0579,0.0681,-,-,-,-
,,09,10 Jan 2013,0.0202,0.9632653950,0.0445,0.0578,0.0681,-,-,-,-
,,10,11 Jan 2013,0.0247,0.9632660468,0.0444,0.0577,0.0681,-,-,-,-
,,11,14 Jan 2013,0.0224,0.9632678203,0.0441,0.0575,0.0679,-,-,-,-
,,14,15 Jan 2013,0.0235,0.9632684405,0.0434,0.0575,0.0678,-,-,-,-
,,15,16 Jan 2013,0.0274,0.9632691636,0.0429,0.0575,0.0678,-,-,-,-
,,16,17 Jan 2013,0.0266,0.9632698656,0.0423,0.0572,0.0678,-,-,-,-
,,17,18 Jan 2013,0.0255,0.9632705386,0.0396,0.0568,0.0677,-,-,-,-
,,18,21 Jan 2013,0.0517,0.9632746318,0.0397,0.0572,0.0677,-,-,-,-
,,21,22 Jan 2013,0.0567,0.9632761282,0.0404,0.0575,0.0677,-,-,-,-
,,22,23 Jan 2013,0.0605,0.9632777248,0.0412,0.0574,0.0677,-,-,-,-
,,23,24 Jan 2013,0.1034,0.9632804537,0.0434,0.0576,0.0680,-,-,-,-
,,24,25 Jan 2013,0.0629,0.9632821137,0.0436,0.0568,0.0678,-,-,-,-
,,25,28 Jan 2013,0.0365,0.9632850035,0.0387,0.0523,0.0667,-,-,-,-
,,28,29 Jan 2013,0.0442,0.9632861700,0.0380,0.0509,0.0663,-,-,-,-
,,29,30 Jan 2013,0.0511,0.9632875186,0.0376,0.0505,0.0659,-,-,-,-
,,30,31 Jan 2013,0.0503,0.9632888461,0.0372,0.0505,0.0654,-,-,-,-
,,31,01 Feb 2013,0.0715,0.9632907331,0.0383,0.0505,0.0650,-,-,-,-
,Feb,01,04 Feb 2013,0.0589,0.9632953965,0.0415,0.0508,0.0650,-,-,-,-
,,04,05 Feb 2013,0.0712,0.9632972756,0.0431,0.0509,0.0652,-,-,-,-
,,05,06 Feb 2013,0.0266,0.9632979776,0.0432,0.0507,0.0651,-,-,-,-
,,06,07 Feb 2013,0.0226,0.9632985741,0.0432,0.0507,0.0649,-,-,-,-
,,07,08 Feb 2013,0.0317,0.9632994107,0.0433,0.0507,0.0648,-,-,-,-
,,08,13 Feb 2013,0.0767,0.9633095319,0.0517,0.0529,0.0648,-,-,-,-
,,13,14 Feb 2013,0.0793,0.9633116248,0.0535,0.0534,0.0648,-,-,-,-
,,14,15 Feb 2013,0.0921,0.9633140555,0.0558,0.0534,0.0648,-,-,-,-
,,15,18 Feb 2013,0.0991,0.9633219019,0.0628,0.0518,0.0647,-,-,-,-
,,18,19 Feb 2013,0.0423,0.9633230183,0.0625,0.0509,0.0646,-,-,-,-
,,19,20 Feb 2013,0.0396,0.9633240634,0.0621,0.0508,0.0645,-,-,-,-
,,20,21 Feb 2013,0.0197,0.9633245834,0.0611,0.0506,0.0643,-,-,-,-
,,21,22 Feb 2013,0.0406,0.9633256549,0.0605,0.0507,0.0640,-,-,-,-
,,22,25 Feb 2013,0.0414,0.9633289329,0.0572,0.0511,0.0633,-,-,-,-
,,25,26 Feb 2013,0.0306,0.9633297405,0.0570,0.0511,0.0630,-,-,-,-
,,26,27 Feb 2013,0.0391,0.9633307724,0.0571,0.0509,0.0627,-,-,-,-
,,27,28 Feb 2013,0.0546,0.9633322135,0.0577,0.0510,0.0626,-,-,-,-
,,28,01 Mar 2013,0.0657,0.9633339475,0.0585,0.0505,0.0628,-,-,-,-
,Mar,01,04 Mar 2013,0.0659,0.9633391653,0.0592,0.0494,0.0626,-,-,-,-
,,04,05 Mar 2013,0.0501,0.9633404876,0.0585,0.0487,0.0625,-,-,-,-
,,05,06 Mar 2013,0.0409,0.9633415670,0.0590,0.0486,0.0624,-,-,-,-
,,06,07 Mar 2013,0.0504,0.9633428972,0.0600,0.0488,0.0625,-,-,-,-
,,07,08 Mar 2013,0.0244,0.9633435412,0.0597,0.0488,0.0623,-,-,-,-
,,08,11 Mar 2013,0.0281,0.9633457662,0.0545,0.0489,0.0618,-,-,-,-
,,11,12 Mar 2013,0.0360,0.9633467163,0.0531,0.0491,0.0616,-,-,-,-
,,12,13 Mar 2013,0.0346,0.9633476295,0.0516,0.0491,0.0614,-,-,-,-
,,13,14 Mar 2013,0.0228,0.9633482313,0.0495,0.0490,0.0613,-,-,-,-
,,14,15 Mar 2013,0.0190,0.9633487327,0.0469,0.0488,0.0611,-,-,-,-
,,15,18 Mar 2013,0.0390,0.9633518207,0.0405,0.0479,0.0608,-,-,-,-
,,18,19 Mar 2013,0.0398,0.9633528712,0.0404,0.0475,0.0608,-,-,-,-
,,19,20 Mar 2013,0.0860,0.9633551410,0.0421,0.0478,0.0609,-,-,-,-
,,20,21 Mar 2013,0.0986,0.9633577434,0.0449,0.0487,0.0612,-,-,-,-
,,21,22 Mar 2013,0.0628,0.9633594009,0.0457,0.0490,0.0612,-,-,-,-
,,22,25 Mar 2013,0.1109,0.9633681820,0.0531,0.0513,0.0618,-,-,-,-
,,25,26 Mar 2013,0.0439,0.9633693407,0.0536,0.0511,0.0610,-,-,-,-
,,26,27 Mar 2013,0.0315,0.9633701721,0.0533,0.0503,0.0602,-,-,-,-
,,27,28 Mar 2013,0.0187,0.9633706656,0.0520,0.0494,0.0588,-,-,-,-
,,28,01 Apr 2013,0.0334,0.9633741918,0.0492,0.0483,0.0544,-,-,-,-
,Apr,01,02 Apr 2013,0.0224,0.9633747830,0.0478,0.0481,0.0533,-,-,-,-
,,02,03 Apr 2013,0.0321,0.9633756303,0.0467,0.0483,0.0530,-,-,-,-
,,03,04 Apr 2013,0.0194,0.9633761423,0.0452,0.0483,0.0530,-,-,-,-
,,04,05 Apr 2013,0.0213,0.9633767045,0.0443,0.0483,0.0530,-,-,-,-
,,05,08 Apr 2013,0.0297,0.9633790562,0.0434,0.0484,0.0532,-,-,-,-
,,08,09 Apr 2013,0.0222,0.9633796421,0.0432,0.0483,0.0532,-,-,-,-
,,09,10 Apr 2013,0.0320,0.9633804868,0.0433,0.0485,0.0532,-,-,-,-
,,10,11 Apr 2013,0.0615,0.9633821100,0.0444,0.0489,0.0534,-,-,-,-
,,11,12 Apr 2013,0.0489,0.9633834007,0.0448,0.0492,0.0535,-,-,-,-
,,12,15 Apr 2013,0.0392,0.9633865046,0.0462,0.0497,0.0536,-,-,-,-
,,15,16 Apr 2013,0.0278,0.9633872384,0.0458,0.0497,0.0536,-,-,-,-
,,16,17 Apr 2013,0.0316,0.9633880724,0.0456,0.0498,0.0536,-,-,-,-
,,17,18 Apr 2013,0.0637,0.9633897537,0.0464,0.0502,0.0535,-,-,-,-
,,18,19 Apr 2013,0.0449,0.9633909388,0.0465,0.0501,0.0535,-,-,-,-
,,19,22 Apr 2013,0.0364,0.9633938211,0.0421,0.0496,0.0535,-,-,-,-
,,22,23 Apr 2013,0.0322,0.9633946710,0.0395,0.0492,0.0534,-,-,-,-
,,23,24 Apr 2013,0.0264,0.9633953678,0.0368,0.0484,0.0531,-,-,-,-
,,24,25 Apr 2013,0.0336,0.9633962546,0.0343,0.0481,0.0525,-,-,-,-
,,25,26 Apr 2013,0.0373,0.9633972391,0.0341,0.0481,0.0517,-,-,-,-
,,26,29 Apr 2013,0.0483,0.9634010637,0.0361,0.0484,0.0497,-,-,-,-
,,29,30 Apr 2013,0.0763,0.9634030776,0.0375,0.0487,0.0496,-,-,-,-
,,30,02 May 2013,0.1010,0.9634084093,0.0425,0.0494,0.0502,-,-,-,-
,May,02,03 May 2013,0.0804,0.9634105315,0.0441,0.0497,0.0503,-,-,-,-
,,03,06 May 2013,0.0881,0.9634175076,0.0505,0.0509,0.0508,-,-,-,-
,,06,07 May 2013,0.0766,0.9634195295,0.0521,0.0515,0.0511,-,-,-,-
,,07,08 May 2013,0.0355,0.9634204665,0.0523,0.0515,0.0511,-,-,-,-
,,08,09 May 2013,0.0387,0.9634214880,0.0528,0.0511,0.0512,-,-,-,-
,,09,10 May 2013,0.0334,0.9634223696,0.0529,0.0506,0.0511,-,-,-,-
,,10,13 May 2013,0.0244,0.9634243017,0.0503,0.0489,0.0509,-,-,-,-
,,13,14 May 2013,0.0273,0.9634250223,0.0500,0.0483,0.0509,-,-,-,-
,,14,15 May 2013,0.0262,0.9634257138,0.0495,0.0475,0.0505,-,-,-,-
,,15,16 May 2013,0.0268,0.9634264212,0.0495,0.0467,0.0497,-,-,-,-
,,16,17 May 2013,0.0340,0.9634273187,0.0496,0.0460,0.0491,-,-,-,-
,,17,20 May 2013,0.0575,0.9634318719,0.0505,0.0459,0.0484,-,-,-,-
,,20,21 May 2013,0.0695,0.9634337063,0.0516,0.0465,0.0486,-,-,-,-
,,21,22 May 2013,0.1007,0.9634363644,0.0537,0.0471,0.0490,-,-,-,-
,,22,23 May 2013,0.0965,0.9634389115,0.0559,0.0478,0.0494,-,-,-,-
,,23,27 May 2013,0.1355,0.9634532179,0.0691,0.0521,0.0515,-,-,-,-
,,27,28 May 2013,0.0694,0.9634550498,0.0698,0.0523,0.0516,-,-,-,-
,,28,29 May 2013,0.0564,0.9634565385,0.0701,0.0523,0.0517,-,-,-,-
,,29,30 May 2013,0.0588,0.9634580906,0.0695,0.0524,0.0516,-,-,-,-
,,30,31 May 2013,0.0761,0.9634600994,0.0697,0.0527,0.0518,-,-,-,-
,,31,03 Jun 2013,0.0537,0.9634643518,0.0658,0.0523,0.0510,-,-,-,-
,Jun,03,04 Jun 2013,0.0341,0.9634652519,0.0640,0.0519,0.0507,-,-,-,-
,,04,05 Jun 2013,0.0394,0.9634662919,0.0625,0.0518,0.0503,-,-,-,-
,,05,06 Jun 2013,0.0435,0.9634674402,0.0610,0.0518,0.0502,-,-,-,-
,,06,07 Jun 2013,0.0211,0.9634679971,0.0592,0.0515,0.0502,-,-,-,-
,,07,10 Jun 2013,0.0180,0.9634694225,0.0575,0.0512,0.0501,-,-,-,-
,,10,11 Jun 2013,0.0177,0.9634698898,0.0573,0.0511,0.0500,-,-,-,-
,,11,12 Jun 2013,0.0291,0.9634706579,0.0574,0.0510,0.0501,-,-,-,-
,,12,13 Jun 2013,0.0273,0.9634713785,0.0575,0.0510,0.0500,-,-,-,-
,,13,14 Jun 2013,0.0355,0.9634723156,0.0578,0.0511,0.0501,-,-,-,-
,,14,17 Jun 2013,0.0300,0.9634746913,0.0579,0.0510,0.0499,-,-,-,-
,,17,18 Jun 2013,0.0292,0.9634754621,0.0570,0.0509,0.0494,-,-,-,-
,,18,19 Jun 2013,0.0330,0.9634763331,0.0562,0.0508,0.0492,-,-,-,-
,,19,20 Jun 2013,0.0427,0.9634774603,0.0557,0.0504,0.0491,-,-,-,-
,,20,21 Jun 2013,0.0549,0.9634789095,0.0552,0.0499,0.0493,-,-,-,-
,,21,24 Jun 2013,0.0632,0.9634839143,0.0506,0.0489,0.0498,-,-,-,-
,,24,25 Jun 2013,0.0616,0.9634855403,0.0482,0.0483,0.0498,-,-,-,-
,,25,26 Jun 2013,0.0483,0.9634868153,0.0454,0.0484,0.0497,-,-,-,-
,,26,27 Jun 2013,0.0476,0.9634880718,0.0426,0.0486,0.0494,-,-,-,-
,,27,28 Jun 2013,0.0526,0.9634894602,0.0421,0.0489,0.0492,-,-,-,-
,,28,01 Jul 2013,0.0478,0.9634932456,0.0401,0.0496,0.0489,-,-,-,-
,Jul,01,02 Jul 2013,0.0646,0.9634949508,0.0404,0.0500,0.0491,-,-,-,-
,,02,03 Jul 2013,0.0638,0.9634966350,0.0408,0.0504,0.0493,-,-,-,-
,,03,04 Jul 2013,0.0698,0.9634984775,0.0420,0.0509,0.0496,-,-,-,-
,,04,05 Jul 2013,0.0633,0.9635001484,0.0428,0.0514,0.0498,-,-,-,-
,,05,08 Jul 2013,0.0358,0.9635029835,0.0436,0.0516,0.0500,-,-,-,-
,,08,09 Jul 2013,0.0251,0.9635036461,0.0438,0.0516,0.0500,-,-,-,-
,,09,10 Jul 2013,0.0361,0.9635045990,0.0444,0.0517,0.0501,-,-,-,-
,,10,11 Jul 2013,0.0209,0.9635051507,0.0445,0.0512,0.0501,-,-,-,-
,,11,12 Jul 2013,0.0354,0.9635060852,0.0447,0.0511,0.0501,-,-,-,-
,,12,15 Jul 2013,0.0443,0.9635095934,0.0461,0.0512,0.0505,-,-,-,-
,,15,16 Jul 2013,0.0351,0.9635105200,0.0462,0.0513,0.0505,-,-,-,-
,,16,17 Jul 2013,0.0400,0.9635115759,0.0466,0.0514,0.0506,-,-,-,-
,,17,18 Jul 2013,0.0251,0.9635122384,0.0464,0.0510,0.0506,-,-,-,-
,,18,19 Jul 2013,0.0372,0.9635132204,0.0466,0.0509,0.0505,-,-,-,-
,,19,22 Jul 2013,0.0434,0.9635166574,0.0456,0.0511,0.0504,-,-,-,-
,,22,23 Jul 2013,0.0373,0.9635176420,0.0447,0.0512,0.0502,-,-,-,-
,,23,24 Jul 2013,0.0436,0.9635187930,0.0440,0.0514,0.0499,-,-,-,-
,,24,25 Jul 2013,0.0718,0.9635206883,0.0444,0.0518,0.0499,-,-,-,-
,,25,26 Jul 2013,0.0414,0.9635217812,0.0442,0.0519,0.0500,-,-,-,-
,,26,29 Jul 2013,0.0423,0.9635251311,0.0435,0.0517,0.0500,-,-,-,-
,,29,30 Jul 2013,0.0774,0.9635271743,0.0444,0.0517,0.0502,-,-,-,-
,,30,31 Jul 2013,0.0533,0.9635285813,0.0447,0.0517,0.0502,-,-,-,-
,,31,01 Aug 2013,0.0522,0.9635299593,0.0449,0.0512,0.0501,-,-,-,-
,Aug,01,02 Aug 2013,0.0315,0.9635307908,0.0438,0.0504,0.0499,-,-,-,-
,,02,05 Aug 2013,0.0291,0.9635330954,0.0403,0.0486,0.0494,-,-,-,-
,,05,06 Aug 2013,0.0319,0.9635339375,0.0401,0.0479,0.0494,-,-,-,-
,,06,07 Aug 2013,0.0504,0.9635352679,0.0406,0.0477,0.0495,-,-,-,-
,,07,12 Aug 2013,0.0498,0.9635418411,0.0437,0.0487,0.0491,-,-,-,-
,,12,13 Aug 2013,0.0505,0.9635431742,0.0439,0.0490,0.0489,-,-,-,-
,,13,14 Aug 2013,0.0265,0.9635438738,0.0433,0.0489,0.0486,-,-,-,-
,,14,15 Aug 2013,0.0341,0.9635447740,0.0430,0.0490,0.0483,-,-,-,-
,,15,16 Aug 2013,0.0485,0.9635460543,0.0434,0.0493,0.0480,-,-,-,-
,,16,19 Aug 2013,0.0401,0.9635492300,0.0440,0.0490,0.0474,-,-,-,-
,,19,20 Aug 2013,0.0307,0.9635500405,0.0436,0.0487,0.0473,-,-,-,-
,,20,21 Aug 2013,0.0353,0.9635509724,0.0433,0.0483,0.0474,-,-,-,-
,,21,22 Aug 2013,0.0730,0.9635528995,0.0443,0.0480,0.0476,-,-,-,-
,,22,23 Aug 2013,0.0657,0.9635546338,0.0452,0.0477,0.0477,-,-,-,-
,,23,26 Aug 2013,0.0649,0.9635597737,0.0464,0.0454,0.0482,-,-,-,-
,,26,27 Aug 2013,0.0418,0.9635608772,0.0464,0.0443,0.0482,-,-,-,-
,,27,28 Aug 2013,0.0358,0.9635618222,0.0462,0.0440,0.0481,-,-,-,-
,,28,29 Aug 2013,0.0558,0.9635632953,0.0466,0.0440,0.0481,-,-,-,-
,,29,30 Aug 2013,0.0455,0.9635644965,0.0456,0.0438,0.0481,-,-,-,-
,,30,02 Sep 2013,0.0308,0.9635669357,0.0442,0.0428,0.0476,-,-,-,-
,Sep,02,03 Sep 2013,0.0376,0.9635679283,0.0444,0.0427,0.0475,-,-,-,-
,,03,04 Sep 2013,0.0348,0.9635688470,0.0446,0.0427,0.0473,-,-,-,-
,,04,05 Sep 2013,0.0435,0.9635699954,0.0451,0.0427,0.0473,-,-,-,-
,,05,06 Sep 2013,0.0218,0.9635705709,0.0448,0.0425,0.0472,-,-,-,-
,,06,09 Sep 2013,0.0175,0.9635719568,0.0416,0.0424,0.0469,-,-,-,-
,,09,10 Sep 2013,0.0340,0.9635728544,0.0411,0.0426,0.0469,-,-,-,-
,,10,11 Sep 2013,0.0269,0.9635735646,0.0404,0.0427,0.0469,-,-,-,-
,,11,12 Sep 2013,0.0372,0.9635745466,0.0400,0.0428,0.0469,-,-,-,-
,,12,13 Sep 2013,0.0265,0.9635752462,0.0392,0.0428,0.0469,-,-,-,-
,,13,16 Sep 2013,0.0415,0.9635785329,0.0397,0.0431,0.0471,-,-,-,-
,,16,17 Sep 2013,0.0230,0.9635791401,0.0391,0.0430,0.0470,-,-,-,-
,,17,18 Sep 2013,0.0342,0.9635800430,0.0389,0.0431,0.0470,-,-,-,-
,,18,19 Sep 2013,0.0263,0.9635807373,0.0385,0.0430,0.0469,-,-,-,-
,,19,20 Sep 2013,0.0300,0.9635815292,0.0385,0.0429,0.0466,-,-,-,-
,,20,23 Sep 2013,0.0250,0.9635835092,0.0353,0.0417,0.0455,-,-,-,-
,,23,24 Sep 2013,0.0292,0.9635842801,0.0341,0.0413,0.0451,-,-,-,-
,,24,25 Sep 2013,0.0174,0.9635847394,0.0326,0.0408,0.0446,-,-,-,-
,,25,26 Sep 2013,0.0229,0.9635853440,0.0312,0.0406,0.0445,-,-,-,-
,,26,27 Sep 2013,0.0245,0.9635859908,0.0307,0.0403,0.0444,-,-,-,-
,,27,30 Sep 2013,0.0236,0.9635878599,0.0285,0.0395,0.0444,-,-,-,-
,,30,01 Oct 2013,0.0522,0.9635892379,0.0292,0.0395,0.0445,-,-,-,-
,Oct,01,02 Oct 2013,0.0228,0.9635898398,0.0289,0.0391,0.0445,-,-,-,-
,,02,03 Oct 2013,0.0558,0.9635913129,0.0295,0.0390,0.0447,-,-,-,-
,,03,04 Oct 2013,0.0825,0.9635934909,0.0311,0.0391,0.0450,-,-,-,-
,,04,07 Oct 2013,0.1221,0.9636031612,0.0406,0.0416,0.0466,-,-,-,-
,,07,08 Oct 2013,0.1475,0.9636070552,0.0449,0.0429,0.0472,-,-,-,-
,,08,09 Oct 2013,0.0831,0.9636092490,0.0471,0.0435,0.0475,-,-,-,-
,,09,10 Oct 2013,0.0823,0.9636114218,0.0487,0.0440,0.0478,-,-,-,-
,,10,11 Oct 2013,0.1224,0.9636146532,0.0519,0.0451,0.0481,-,-,-,-
,,11,14 Oct 2013,0.1284,0.9636248226,0.0612,0.0479,0.0496,-,-,-,-
,,14,16 Oct 2013,0.1924,0.9636349816,0.0713,0.0512,0.0513,-,-,-,-
,,16,17 Oct 2013,0.0599,0.9636365630,0.0725,0.0515,0.0514,-,-,-,-
,,17,18 Oct 2013,0.0711,0.9636384401,0.0737,0.0520,0.0515,-,-,-,-
,,18,21 Oct 2013,0.0703,0.9636440081,0.0781,0.0529,0.0520,-,-,-,-
,,21,22 Oct 2013,0.0275,0.9636447341,0.0781,0.0527,0.0519,-,-,-,-
,,22,23 Oct 2013,0.0293,0.9636455077,0.0783,0.0527,0.0519,-,-,-,-
,,23,24 Oct 2013,0.0299,0.9636462971,0.0783,0.0525,0.0520,-,-,-,-
,,24,25 Oct 2013,0.0294,0.9636470733,0.0787,0.0520,0.0519,-,-,-,-
,,25,28 Oct 2013,0.0295,0.9636494098,0.0793,0.0516,0.0517,-,-,-,-
,,28,29 Oct 2013,0.0479,0.9636506744,0.0801,0.0517,0.0517,-,-,-,-
,,29,30 Oct 2013,0.0516,0.9636520367,0.0810,0.0514,0.0515,-,-,-,-
,,30,31 Oct 2013,0.0357,0.9636529793,0.0796,0.0512,0.0515,-,-,-,-
,,31,01 Nov 2013,0.0318,0.9636538188,0.0789,0.0510,0.0511,-,-,-,-
,Nov,01,04 Nov 2013,0.0292,0.9636561316,0.0765,0.0510,0.0501,-,-,-,-
,,04,05 Nov 2013,0.0367,0.9636571005,0.0738,0.0511,0.0498,-,-,-,-
,,05,06 Nov 2013,0.0250,0.9636577606,0.0707,0.0510,0.0495,-,-,-,-
,,06,07 Nov 2013,0.0171,0.9636582121,0.0673,0.0506,0.0491,-,-,-,-
,,07,08 Nov 2013,0.0245,0.9636588589,0.0633,0.0503,0.0491,-,-,-,-
,,08,11 Nov 2013,0.0441,0.9636623518,0.0583,0.0502,0.0493,-,-,-,-
,,11,12 Nov 2013,0.0736,0.9636642950,0.0565,0.0504,0.0495,-,-,-,-
,,12,13 Nov 2013,0.1887,0.9636692770,0.0585,0.0519,0.0504,-,-,-,-
,,13,14 Nov 2013,0.3913,0.9636796081,0.0669,0.0559,0.0524,-,-,-,-
,,14,15 Nov 2013,0.1015,0.9636822879,0.0640,0.0566,0.0528,-,-,-,-
,,15,18 Nov 2013,0.0375,0.9636852581,0.0572,0.0564,0.0528,-,-,-,-
,,18,19 Nov 2013,0.0833,0.9636874575,0.0576,0.0569,0.0529,-,-,-,-
,,19,20 Nov 2013,0.1083,0.9636903168,0.0588,0.0578,0.0532,-,-,-,-
,,20,21 Nov 2013,0.0944,0.9636928092,0.0596,0.0584,0.0533,-,-,-,-
,,21,22 Nov 2013,0.0299,0.9636935987,0.0597,0.0579,0.0530,-,-,-,-
,,22,25 Nov 2013,0.0388,0.9636966719,0.0606,0.0571,0.0516,-,-,-,-
,,25,26 Nov 2013,0.0425,0.9636977940,0.0610,0.0568,0.0511,-,-,-,-
,,26,27 Nov 2013,0.0423,0.9636989109,0.0614,0.0568,0.0506,-,-,-,-
,,27,28 Nov 2013,0.0164,0.9636993439,0.0610,0.0566,0.0503,-,-,-,-
,,28,29 Nov 2013,0.0327,0.9637002072,0.0605,0.0564,0.0502,-,-,-,-
,,29,02 Dec 2013,0.0466,0.9637038983,0.0623,0.0570,0.0499,-,-,-,-
,Dec,02,03 Dec 2013,0.0333,0.9637047776,0.0624,0.0570,0.0498,-,-,-,-
,,03,04 Dec 2013,0.0757,0.9637067763,0.0639,0.0574,0.0500,-,-,-,-
,,04,05 Dec 2013,0.0973,0.9637093453,0.0660,0.0580,0.0503,-,-,-,-
,,05,06 Dec 2013,0.0700,0.9637111935,0.0675,0.0585,0.0505,-,-,-,-
,,06,09 Dec 2013,0.0384,0.9637142351,0.0684,0.0592,0.0508,-,-,-,-
,,09,10 Dec 2013,0.0314,0.9637150642,0.0680,0.0592,0.0509,-,-,-,-
,,10,11 Dec 2013,0.0254,0.9637157348,0.0674,0.0592,0.0509,-,-,-,-
,,11,12 Dec 2013,0.0433,0.9637168781,0.0664,0.0592,0.0510,-,-,-,-
,,12,13 Dec 2013,0.0180,0.9637173533,0.0607,0.0592,0.0509,-,-,-,-
,,13,16 Dec 2013,0.0331,0.9637199752,0.0463,0.0589,0.0509,-,-,-,-
,,16,17 Dec 2013,0.0326,0.9637208359,0.0462,0.0590,0.0510,-,-,-,-
,,17,18 Dec 2013,0.0371,0.9637218155,0.0462,0.0590,0.0510,-,-,-,-
,,18,19 Dec 2013,0.0511,0.9637231647,0.0451,0.0593,0.0511,-,-,-,-
,,19,20 Dec 2013,0.0497,0.9637244769,0.0431,0.0595,0.0511,-,-,-,-
,,20,23 Dec 2013,0.0784,0.9637306870,0.0455,0.0613,0.0514,-,-,-,-
,,23,24 Dec 2013,0.0965,0.9637332350,0.0475,0.0620,0.0516,-,-,-,-
,,24,26 Dec 2013,0.0949,0.9637382464,0.0511,0.0636,0.0520,-,-,-,-
,,26,27 Dec 2013,0.0264,0.9637389434,0.0505,0.0637,0.0519,-,-,-,-
,,27,30 Dec 2013,0.0311,0.9637414069,0.0505,0.0639,0.0516,-,-,-,-
,,30,31 Dec 2013,0.0217,0.9637419799,0.0495,0.0635,0.0515,-,-,-,-
,,31,02 Jan 2014,0.0698,0.9637456658,0.0510,0.0642,0.0516,-,-,-,-


SORA Value Date,,,SORA Publication Date,SORA,SORA Index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,Aggregate Volume of SORA Transactions (S$ MILLIONS),Highest Transacted Rate,Lowest Transacted Rate,SORA Calculation Method
2014,Jan,02,03 Jan 2014,0.0446,0.9637468435,0.0514,0.0640,0.0515,-,-,-,-
,,03,06 Jan 2014,0.0259,0.9637488951,0.0461,0.0613,0.0510,-,-,-,-
,,06,07 Jan 2014,0.0370,0.9637498720,0.0460,0.0604,0.0510,-,-,-,-
,,07,08 Jan 2014,0.0358,0.9637508173,0.0459,0.0592,0.0510,-,-,-,-
,,08,09 Jan 2014,0.0390,0.9637518470,0.0460,0.0587,0.0511,-,-,-,-
,,09,10 Jan 2014,0.0290,0.9637526128,0.0459,0.0581,0.0511,-,-,-,-
,,10,13 Jan 2014,0.0399,0.9637557733,0.0469,0.0553,0.0512,-,-,-,-
,,13,14 Jan 2014,0.0541,0.9637572018,0.0476,0.0545,0.0512,-,-,-,-
,,14,15 Jan 2014,0.0403,0.9637582659,0.0478,0.0528,0.0512,-,-,-,-
,,15,16 Jan 2014,0.0381,0.9637592719,0.0480,0.0512,0.0512,-,-,-,-
,,16,17 Jan 2014,0.0356,0.9637602119,0.0481,0.0509,0.0512,-,-,-,-
,,17,20 Jan 2014,0.0451,0.9637637844,0.0480,0.0501,0.0514,-,-,-,-
,,20,21 Jan 2014,0.0474,0.9637650360,0.0470,0.0498,0.0514,-,-,-,-
,,21,22 Jan 2014,0.0468,0.9637662717,0.0460,0.0500,0.0514,-,-,-,-
,,22,23 Jan 2014,0.0509,0.9637676157,0.0451,0.0503,0.0515,-,-,-,-
,,23,24 Jan 2014,0.0479,0.9637688805,0.0435,0.0505,0.0515,-,-,-,-
,,24,27 Jan 2014,0.0557,0.9637732927,0.0420,0.0513,0.0516,-,-,-,-
,,27,28 Jan 2014,0.0521,0.9637746684,0.0426,0.0516,0.0516,-,-,-,-
,,28,29 Jan 2014,0.0610,0.9637762791,0.0436,0.0517,0.0517,-,-,-,-
,,29,30 Jan 2014,0.0577,0.9637778026,0.0445,0.0518,0.0516,-,-,-,-
,,30,03 Feb 2014,0.0467,0.9637827351,0.0438,0.0524,0.0517,-,-,-,-
,Feb,03,04 Feb 2014,0.0593,0.9637843009,0.0449,0.0528,0.0519,-,-,-,-
,,04,05 Feb 2014,0.0169,0.9637847471,0.0446,0.0526,0.0518,-,-,-,-
,,05,06 Feb 2014,0.0237,0.9637853729,0.0446,0.0525,0.0518,-,-,-,-
,,06,07 Feb 2014,0.0124,0.9637857004,0.0438,0.0525,0.0516,-,-,-,-
,,07,10 Feb 2014,0.0376,0.9637886789,0.0441,0.0525,0.0514,-,-,-,-
,,10,11 Feb 2014,0.0347,0.9637895951,0.0439,0.0524,0.0513,-,-,-,-
,,11,12 Feb 2014,0.0288,0.9637903556,0.0435,0.0519,0.0512,-,-,-,-
,,12,13 Feb 2014,0.0284,0.9637911055,0.0432,0.0502,0.0510,-,-,-,-
,,13,14 Feb 2014,0.0364,0.9637920666,0.0426,0.0463,0.0511,-,-,-,-
,,14,17 Feb 2014,0.0422,0.9637954095,0.0430,0.0458,0.0511,-,-,-,-
,,17,18 Feb 2014,0.0453,0.9637966057,0.0430,0.0458,0.0511,-,-,-,-
,,18,19 Feb 2014,0.0518,0.9637979735,0.0432,0.0455,0.0512,-,-,-,-
,,19,20 Feb 2014,0.0576,0.9637994945,0.0436,0.0449,0.0514,-,-,-,-
